Time,Name,Emotion,Distance
2025-12-12T23:18:15.470268,Unknown,happy,0.0000
2025-12-12T23:18:16.161870,Unknown,happy,0.0000
2025-12-12T23:18:16.826741,Unknown,happy,0.0000
2025-12-12T23:18:17.480096,Unknown,happy,0.0000
2025-12-12T23:18:18.141337,Azhar,neutral,0.6504
2025-12-12T23:18:18.804779,Unknown,happy,0.0000
2025-12-12T23:18:19.459814,Azhar,neutral,0.4171
2025-12-12T23:18:20.132443,Unknown,happy,0.0000
2025-12-12T23:18:20.799482,Azhar,neutral,0.5159
2025-12-12T23:18:21.504254,Unknown,happy,0.0000
2025-12-12T23:18:22.165911,Azhar,neutral,0.6170
2025-12-12T23:18:22.816941,Unknown,happy,0.0000
2025-12-12T23:18:23.517455,Unknown,happy,0.0000
2025-12-12T23:18:24.222060,Unknown,fear,0.0000
2025-12-12T23:18:24.883506,Unknown,happy,0.0000
2025-12-12T23:18:25.545138,Azhar,neutral,0.6337
2025-12-12T23:18:26.215983,Unknown,happy,0.0000
2025-12-12T23:18:26.879261,Azhar,neutral,0.4331
2025-12-12T23:18:27.544088,Azhar,neutral,0.5766
2025-12-12T23:18:28.225410,Azhar,neutral,0.5866
2025-12-12T23:18:28.926704,Unknown,happy,0.0000
2025-12-12T23:18:29.586826,Unknown,happy,0.0000
2025-12-12T23:18:30.337236,Azhar,neutral,0.5243
2025-12-12T23:18:31.047845,Unknown,happy,0.0000
2025-12-12T23:18:31.716967,Azhar,neutral,0.6101
2025-12-12T23:18:32.421471,Unknown,happy,0.0000
2025-12-12T23:18:33.146565,Azhar,neutral,0.6558
2025-12-12T23:18:33.852310,Unknown,happy,0.0000
2025-12-12T23:18:34.532026,Azhar,neutral,0.4913
2025-12-12T23:18:35.223814,Unknown,happy,0.0000
2025-12-12T23:18:35.941722,Unknown,happy,0.0000
2025-12-12T23:18:36.630894,Unknown,happy,0.0000
2025-12-12T23:18:37.335845,Unknown,sad,0.0000
2025-12-12T23:18:38.058607,Unknown,sad,0.0000
2025-12-12T23:18:38.736601,Unknown,sad,0.0000
2025-12-12T23:18:39.446626,Unknown,sad,0.0000
2025-12-12T23:18:40.127678,Unknown,sad,0.0000
2025-12-12T23:18:40.863921,Unknown,sad,0.0000
